"UF","cod.UF","cod Municipio","Nome do municipio","População estimada","PIB per capita","PIB TOTAL","Atividade econômica","Ranking PIB per capita","Ranking PIB Total"
"SP","35","3544400","Rubiácea","2.983","2.035.991","62.016.298","Agricultura, inclusive apoio à agricultura e a pós colheita","2005","4223"
"SP","35","3544509","Rubinéia","3.060","262.971","81.573.597","Demais serviços","5133","3815"
"SP","35","3544608","Sabino","5.502","2.128.504","118.110.664","Demais serviços","1886","3234"
"SP","35","3544707","Sagres","2.456","1.765.147","43.299.061","Agricultura, inclusive apoio à agricultura e a pós colheita","2354","4734"
"SP","35","3544806","Sales","6.002","2.316.799","142.344.133","Demais serviços","1668","2915"
"SP","35","3544905","Sales Oliveira","11.438","3.086.562","359.306.677","Demais serviços","993","1541"
"SP","35","3545001","Salesópolis","16.688","11.869","20.062.171","Demais serviços","5554","5241"
"SP","35","3545100","Salmourão","5.152","1.358.547","70.943.348","Administração, defesa, educação e saúde públicas e seguridade social","2956","4031"
"SP","35","3545159","Saltinho","7.818","292.312","234.404.974","Demais serviços","5110","2105"
"SP","35","3545209","Salto","114.171","591.182","686.900.331","Demais serviços","4949","950"
"SP","35","3545308","Salto de Pirapora","43.574","3.678.317","163.306.222","Indústrias de transformação","671","2695"
"SP","35","3545407","Salto Grande","9.223","2.258.875","209.781.743","Demais serviços","1737","2281"
"SP","35","3545506","Sandovalina","4.076","9.506.251","396.790.913","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","56","1434"
"SP","35","3545605","Santa Adélia","15.178","2.108.542","323.260.574","Demais serviços","1917","1663"
"SP","35","3545704","Santa Albertina","5.971","3.234.125","194.015.157","Demais serviços","887","2405"
"SP","35","3545803","Santa Bárbara d'Oeste","190.139","2.863.577","5.494.890.225","Demais serviços","1138","167"
"SP","35","3546009","Santa Branca","14.534","1.681.109","246.568.207","Demais serviços","2473","2039"
"SP","35","3546108","Santa Clara d'Oeste","2.137","314.707","67.158.475","Demais serviços","5097","4116"
"SP","35","3546207","Santa Cruz da Conceição","4.332","2.673.594","117.878.755","Demais serviços","1299","3238"
"SP","35","3546256","Santa Cruz da Esperança","2.084","263.525","55.603.779","Agricultura, inclusive apoio à agricultura e a pós colheita","5132","4378"
"SP","35","3546306","Santa Cruz das Palmeiras","32.749","1.500.254","501.909.963","Demais serviços","2740","1211"
"SP","35","3546405","Santa Cruz do Rio Pardo","46.633","4.331.909","2.042.408.615","Demais serviços","441","386"
"SP","35","3546504","Santa Ernestina","5.681","1.626.061","92.067.575","Demais serviços","2556","3623"
"SP","35","3546603","Santa Fé do Sul","31.348","3.187.628","1.013.729.405","Demais serviços","923","692"
"SP","35","3546702","Santa Gertrudes","24.737","6.131.455","1.571.921.166","Indústrias de transformação","157","495"
